N,M,k,smart,sat,restarts,conflicts,decisions,conflict_literals,propagations,cpu_time,clauses,variables,timeout
6,151,3,False,True,1,0,1,0,1296,0.0,1266,1296,False
6,151,4,False,True,1,0,1,0,1296,0.0,1214,1296,False
9,583,1,False,True,1,0,1,0,6561,0.008,5910,6561,False
6,151,3,True,True,1,0,1,0,1296,0.0,1266,1296,False
6,21,4,False,,,,,,,,,,True
9,437,2,False,True,1,0,1,0,6561,0.008,13902,6561,False
8,409,4,True,True,1,0,1,0,4096,0.0,3370,4096,False
9,145,3,False,,,,,,,,,,True
6,151,1,False,True,1,0,1,0,1296,0.0,1211,1296,False
7,240,2,True,True,1,0,1,0,2401,0.0,2783,2401,False
3,24,0,True,True,1,0,1,0,81,0.0,12,81,False
6,64,4,True,True,1,0,1,0,1296,0.0,4650,1296,False
5,25,3,True,True,1,0,1,0,625,0.0,2706,625,False
4,6,0,False,True,1,0,11,0,256,0.0,2145,256,False
5,112,3,True,True,1,0,1,0,625,0.0,147,625,False
8,256,1,False,True,1,0,1,0,4096,0.004,10650,4096,False
3,21,1,False,True,1,0,1,0,81,0.0,26,81,False
7,274,1,False,True,1,0,1,0,2401,0.0,1720,2401,False
9,218,2,True,True,1,0,1,0,6561,0.008,37494,6561,False
5,112,4,False,True,1,0,1,0,625,0.0,159,625,False
3,18,2,True,True,1,0,1,0,81,0.0,40,81,False
7,240,4,False,True,1,0,1,0,2401,0.0,2728,2401,False
8,153,3,True,True,1,0,2,0,4096,0.004,20530,4096,False
9,145,0,True,,,,,,,,,,True
8,256,0,True,True,1,0,1,0,4096,0.004,11132,4096,False
9,364,0,False,True,1,0,1,0,6561,0.004,19852,6561,False
6,21,0,True,True,509,187176,257182,8574452,31736151,7.952,9568,1296,False
5,100,4,True,True,1,0,1,0,625,0.0,293,625,False
4,51,2,True,True,1,0,1,0,256,0.0,102,256,False
8,409,3,True,True,1,0,1,0,4096,0.0,3509,4096,False
7,240,3,True,True,1,0,1,0,2401,0.0,2666,2401,False
3,5,4,False,True,1,0,1,0,81,0.0,161,81,False
3,16,4,True,True,1,0,1,0,81,0.0,53,81,False
6,108,0,True,True,1,0,1,0,1296,0.0,2520,1296,False
9,583,2,True,True,1,0,1,0,6561,0.004,6165,6561,False
4,38,2,True,True,1,0,1,0,256,0.0,232,256,False
5,87,1,True,True,1,0,1,0,625,0.0,506,625,False
5,112,2,True,True,1,0,1,0,625,0.0,157,625,False
