N,M,k,smart,sat,restarts,conflicts,decisions,conflict_literals,propagations,cpu_time,clauses,variables,timeout
6,151,3,False,True,1,0,1,0,1296,0.0,1210,1296,False
6,151,4,False,True,1,0,1,0,1296,0.0,1307,1296,False
10,300,3,False,True,1,4,19,42,11208,0.02,80885,10000,False
9,583,1,False,True,1,0,1,0,6561,0.008,6039,6561,False
6,151,3,True,True,1,0,1,0,1296,0.0,1210,1296,False
11,665,2,True,True,1,0,1,0,14641,0.016,53988,14641,False
6,21,4,False,True,22,4253,8373,195251,566279,0.096,16722,1296,False
15,1012,4,True,,,,,,,,,,True
11,532,3,False,True,1,0,1,0,14641,0.028,75868,14641,False
14,548,3,True,,,,,,,,,,True
9,437,2,False,True,1,0,1,0,6561,0.008,14007,6561,False
11,133,2,True,,,,,,,,,,True
8,409,4,True,True,1,0,1,0,4096,0.0,3410,4096,False
11,665,4,False,True,1,0,1,0,14641,0.032,54318,14641,False
9,145,3,False,,,,,,,,,,True
11,266,3,False,,,,,,,,,,True
6,151,1,False,True,1,0,1,0,1296,0.0,1211,1296,False
13,1757,0,False,True,1,0,1,0,28561,0.06,38480,28561,False
13,878,4,False,True,1,0,1,0,28561,0.072,172554,28561,False
7,240,2,True,True,1,0,1,0,2401,0.0,2806,2401,False
3,24,0,True,True,1,0,1,0,81,0.0,12,81,False
6,64,4,True,True,1,0,1,0,1296,0.0,4988,1296,False
5,25,3,True,True,1,0,1,0,625,0.0,2654,625,False
13,659,3,False,True,62,14751,27823,383523,2713068,0.516,317440,28561,False
15,1687,2,True,True,1,0,1,0,50625,0.084,260078,50625,False
10,900,4,False,True,1,0,1,0,10000,0.016,4851,10000,False
11,1197,4,True,True,1,0,1,0,14641,0.012,7970,14641,False
4,6,0,False,True,1,0,10,0,256,0.0,2079,256,False
14,1372,4,False,True,1,0,1,0,38416,0.112,184265,38416,False
5,112,3,True,True,1,0,1,0,625,0.0,155,625,False
8,256,1,False,True,1,0,1,0,4096,0.004,10620,4096,False
13,878,4,True,True,1,0,1,0,28561,0.052,172554,28561,False
3,21,1,False,True,1,0,1,0,81,0.0,28,81,False
12,1209,2,False,True,1,0,1,0,20736,0.032,41124,20736,False
7,274,1,False,True,1,0,1,0,2401,0.0,1697,2401,False
15,2362,2,True,True,1,0,1,0,50625,0.064,128123,50625,False
14,1097,3,True,True,1,0,1,0,38416,0.068,256487,38416,False
9,218,2,True,True,1,0,1,0,6561,0.004,37939,6561,False
5,112,4,False,True,1,0,1,0,625,0.0,148,625,False
3,18,2,True,True,1,0,1,0,81,0.0,40,81,False
10,600,0,True,True,1,0,1,0,10000,0.008,24400,10000,False
11,399,4,True,True,1,85,293,922,29995,0.02,107149,14641,False
7,240,4,False,True,1,0,1,0,2401,0.0,2704,2401,False
8,153,3,True,True,1,0,1,0,4096,0.004,20529,4096,False
9,145,0,True,,,,,,,,,,True
12,1209,3,False,True,1,0,1,0,20736,0.044,41278,20736,False
8,256,0,True,True,1,0,1,0,4096,0.004,11043,4096,False
11,798,1,True,True,1,0,1,0,14641,0.016,38276,14641,False
9,364,0,False,True,1,0,1,0,6561,0.012,19756,6561,False
6,21,0,True,True,21,3952,7940,168714,483789,0.08,9617,1296,False
10,100,2,True,,,,,,,,,,True
5,100,4,True,True,1,0,1,0,625,0.0,308,625,False
13,1537,0,False,True,1,0,1,0,28561,0.056,62219,28561,False
4,51,2,True,True,1,0,1,0,256,0.0,100,256,False
10,100,4,True,,,,,,,,,,True
8,409,3,True,True,1,0,1,0,4096,0.0,3323,4096,False
7,240,3,True,True,1,0,1,0,2401,0.0,2637,2401,False
13,219,3,False,,,,,,,,,,True
3,5,4,False,True,1,0,1,0,81,0.0,185,81,False
3,16,4,True,True,1,0,1,0,81,0.0,50,81,False
13,1318,1,False,True,1,0,1,0,28561,0.064,91031,28561,False
15,675,4,True,,,,,,,,,,True
6,108,0,True,True,1,0,1,0,1296,0.0,2461,1296,False
13,1098,1,True,True,1,0,1,0,28561,0.04,125924,28561,False
11,399,1,True,True,3,281,784,6143,58835,0.028,106285,14641,False
13,219,0,True,,,,,,,,,,True
9,583,2,True,True,1,0,1,0,6561,0.004,6113,6561,False
4,38,2,True,True,1,0,1,0,256,0.0,251,256,False
5,87,1,True,True,1,0,1,0,625,0.0,569,625,False
5,112,2,True,True,1,0,1,0,625,0.0,150,625,False
14,1097,0,True,True,1,0,1,0,38416,0.076,255837,38416,False
3,10,4,False,True,1,0,1,0,81,0.0,114,81,False
15,1687,0,False,True,1,0,1,0,50625,0.136,260768,50625,False
5,12,2,True,True,2,186,271,3007,18734,0.0,3689,625,False
9,656,1,False,True,1,0,1,0,6561,0.008,2871,6561,False
3,21,2,True,True,1,0,1,0,81,0.0,26,81,False
15,3037,2,True,True,1,0,1,0,50625,0.056,37399,50625,False
8,51,3,True,,,,,,,,,,True
15,2025,3,False,True,1,0,1,0,50625,0.12,186558,50625,False
14,2195,2,True,True,1,0,1,0,38416,0.048,56072,38416,False
5,87,0,True,True,1,0,1,0,625,0.0,481,625,False
6,64,0,True,True,1,0,1,0,1296,0.0,4480,1296,False
9,364,2,True,True,1,0,1,0,6561,0.004,19984,6561,False
10,800,0,False,True,1,0,1,0,10000,0.016,10254,10000,False
7,137,3,True,True,1,0,1,0,2401,0.0,7345,2401,False
6,151,0,False,True,1,0,1,0,1296,0.0,1338,1296,False
15,1012,0,False,,,,,,,,,,True
6,108,1,False,True,1,0,1,0,1296,0.0,2567,1296,False
3,16,1,False,True,1,0,1,0,81,0.0,53,81,False
5,62,1,True,True,1,0,1,0,625,0.0,977,625,False
9,656,3,False,True,1,0,1,0,6561,0.004,2856,6561,False
4,6,4,True,True,1,0,4,0,256,0.0,1161,256,False
7,308,0,True,True,1,0,1,0,2401,0.0,807,2401,False
9,364,1,True,True,1,0,1,0,6561,0.004,19795,6561,False
13,878,3,True,True,1,0,1,0,28561,0.048,173123,28561,False
11,133,4,True,,,,,,,,,,True
14,2469,0,True,True,1,0,1,0,38416,0.036,26554,38416,False
7,171,4,False,True,1,0,1,0,2401,0.004,5273,2401,False
5,37,4,False,True,1,0,1,0,625,0.0,1714,625,False
